@timestamp,@message
2026-01-20 21:47:08.279,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:47:08.151,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:47:08.023,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:47:07.895,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:47:07.767,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:47:07.639,[2K[1G[⣷] Pulling schema from database...
2026-01-20 21:47:07.511,[2K[1G[⣽] Pulling schema from database...
2026-01-20 21:47:07.383,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:47:07.255,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:47:07.127,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:47:06.999,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:47:06.871,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:47:06.743,[2K[1G[⣷] Pulling schema from database...
2026-01-20 21:47:06.615,[2K[1G[⣽] Pulling schema from database...
2026-01-20 21:47:06.487,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:47:06.359,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:47:06.230,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:47:06.102,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:47:05.972,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:47:05.801,[⣷] Pulling schema from database...
2026-01-20 21:47:05.303,Using 'pg' driver for database querying
2026-01-20 21:47:04.370,Reading config file '/app/drizzle.config.ts'
2026-01-20 21:47:04.369,"No config path provided, using default 'drizzle.config.ts'"
2026-01-20 21:47:03.599,> rest-express@1.0.0 db:push
2026-01-20 21:47:03.599,> drizzle-kit push
2026-01-20 21:47:02.908,npm warn config production Use `--omit=dev` instead.
2026-01-20 21:45:58.195,file:///app/dist/index.js:29457
2026-01-20 21:45:58.195,"      throw new Error(""SESSION_SECRET environment variable is required in production"");"
2026-01-20 21:45:58.195,            ^
2026-01-20 21:45:58.195,Error: SESSION_SECRET environment variable is required in production
2026-01-20 21:45:58.195,    at getSession (file:///app/dist/index.js:29457:13)
2026-01-20 21:45:58.195,    at setupReplitAuth (file:///app/dist/index.js:29589:12)
2026-01-20 21:45:58.195,    at setupAuth (file:///app/dist/index.js:29829:9)
2026-01-20 21:45:58.195,    at file:///app/dist/index.js:41751:9
2026-01-20 21:45:58.195,    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2026-01-20 21:45:58.195,Node.js v20.18.1
2026-01-20 21:45:58.189,"09:45:58 PM [app] INFO: Cron job bootstrap completed {""service"":""cron-bootstrap"",""created"":0,""skipped"":7,""errors"":0,""total"":7}"
2026-01-20 21:45:58.189,"09:45:58 PM [startup] INFO: Default cron jobs bootstrapped {""service"":""sirius""}"
2026-01-20 21:45:58.154,"09:45:58 PM [app] INFO: Bootstrapping default cron jobs {""service"":""cron-bootstrap""}"
2026-01-20 21:45:58.153,"09:45:58 PM [startup] INFO: Flood configs loaded from variables {""service"":""sirius""}"
2026-01-20 21:45:58.153,"09:45:58 PM [log-notifier] INFO: Log notifier initialized {""service"":""sirius""}"
2026-01-20 21:45:58.148,"09:45:58 PM [startup] INFO: Flood events registered {""service"":""sirius""}"
2026-01-20 21:45:58.147,"09:45:58 PM [app] INFO: Registered cron job: sweep-expired-ban-elig {""service"":""cron-registry""}"
2026-01-20 21:45:58.147,"09:45:58 PM [app] INFO: Registered cron job: sync-ban-active-status {""service"":""cron-registry""}"
2026-01-20 21:45:58.147,"09:45:58 PM [startup] INFO: Cron job handlers registered {""service"":""sirius""}"
2026-01-20 21:45:58.147,"09:45:58 PM [app] INFO: Registered flood event: bookmark {""service"":""flood-registry"",""threshold"":1000,""windowSeconds"":360}"
2026-01-20 21:45:58.146,"09:45:58 PM [startup] INFO: Dispatch eligibility system initialized {""service"":""sirius""}"
2026-01-20 21:45:58.146,"09:45:58 PM [app] INFO: Worker ban notifications initialized {""service"":""worker-ban-notifications""}"
2026-01-20 21:45:58.146,"09:45:58 PM [startup] INFO: Worker ban notifications initialized {""service"":""sirius""}"
2026-01-20 21:45:58.146,"09:45:58 PM [app] INFO: Registered cron job: delete-expired-reports {""service"":""cron-registry""}"
2026-01-20 21:45:58.146,"09:45:58 PM [app] INFO: Registered cron job: delete-old-cron-logs {""service"":""cron-registry""}"
2026-01-20 21:45:58.146,"09:45:58 PM [app] INFO: Registered cron job: process-wmb-batch {""service"":""cron-registry""}"
2026-01-20 21:45:58.146,"09:45:58 PM [app] INFO: Registered cron job: delete-expired-flood-events {""service"":""cron-registry""}"
2026-01-20 21:45:58.146,"09:45:58 PM [app] INFO: Registered cron job: delete-expired-hfe {""service"":""cron-registry""}"
2026-01-20 21:45:58.145,"09:45:58 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_skill {""service"":""dispatch-elig-registry""}"
2026-01-20 21:45:58.145,"09:45:58 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_status {""service"":""dispatch-elig-registry""}"
2026-01-20 21:45:58.145,"09:45:58 PM [app] INFO: Dispatch eligibility plugins registered {""service"":""dispatch-elig-plugins"",""plugins"":[""dispatch_ban"",""dispatch_dnc"",""dispatch_hfe"",""dispatch_skill"",""dispatch_status""]}"
2026-01-20 21:45:58.144,"09:45:58 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_dnc {""service"":""dispatch-elig-registry""}"
2026-01-20 21:45:58.144,"09:45:58 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_hfe {""service"":""dispatch-elig-registry""}"
2026-01-20 21:45:58.143,"09:45:58 PM [startup] INFO: Component permissions synced {""service"":""sirius""}"
2026-01-20 21:45:58.143,"09:45:58 PM [app] INFO: Dispatch eligibility plugin registered: dispatch_ban {""service"":""dispatch-elig-registry""}"
2026-01-20 21:45:58.142,"09:45:58 PM [startup] INFO: Component cache initialized {""service"":""sirius""}"
2026-01-20 21:45:58.096,"09:45:58 PM [startup] INFO: Address validation service initialized {""service"":""sirius""}"
2026-01-20 21:45:57.959,"09:45:57 PM [startup] INFO: Access control system initialized {""service"":""sirius""}"
2026-01-20 21:45:57.958,"09:45:57 PM [startup] INFO: Permission system initialized with core permissions {""service"":""sirius""}"
2026-01-20 21:45:57.955,"09:45:57 PM [app] INFO: Registered eligibility plugin: work-status {""service"":""eligibility-plugin-registry""}"
2026-01-20 21:45:57.955,"09:45:57 PM [app] INFO: Registered eligibility plugin: manual {""service"":""eligibility-plugin-registry""}"
2026-01-20 21:45:57.948,"09:45:57 PM [app] INFO: Registered charge plugin: payment-simple-allocation {""service"":""charge-plugin-registry"",""triggers"":[""payment_saved""]}"
2026-01-20 21:45:57.948,"09:45:57 PM [app] INFO: Registered charge plugin: btu-steward-attendance {""service"":""charge-plugin-registry"",""triggers"":[""participant_saved""],""requiredComponent"":""sitespecific.btu""}"
2026-01-20 21:45:57.947,"09:45:57 PM [app] INFO: Registered charge plugin: gbhet-legal-benefit {""service"":""charge-plugin-registry"",""triggers"":[""wmb_saved""],""requiredComponent"":""sitespecific.gbhet.legal""}"
2026-01-20 21:45:54.893,> rest-express@1.0.0 start
2026-01-20 21:45:54.893,> NODE_ENV=production node dist/index.js
2026-01-20 21:45:54.847,npm warn config production Use `--omit=dev` instead.
2026-01-20 21:45:54.554,npm notice
2026-01-20 21:45:54.554,npm notice New major version of npm available! 10.8.2 -> 11.7.0
2026-01-20 21:45:54.554,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.7.0
2026-01-20 21:45:54.554,npm notice To update run: npm install -g npm@11.7.0
2026-01-20 21:45:54.554,npm notice
2026-01-20 21:45:54.533,[✓] Changes applied
2026-01-20 21:45:54.052,[2K[1G[✓] Pulling schema from database...
2026-01-20 21:45:54.039,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:45:53.911,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:45:53.784,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:45:53.656,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:45:53.528,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:45:53.400,[2K[1G[⣷] Pulling schema from database...
2026-01-20 21:45:53.271,[2K[1G[⣽] Pulling schema from database...
2026-01-20 21:45:53.143,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:45:53.015,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:45:52.887,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:45:52.759,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:45:52.631,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:45:52.503,[2K[1G[⣷] Pulling schema from database...
2026-01-20 21:45:52.373,[2K[1G[⣽] Pulling schema from database...
2026-01-20 21:45:52.245,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:45:52.118,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:45:51.989,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:45:51.861,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:45:51.733,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:45:51.605,[2K[1G[⣷] Pulling schema from database...
2026-01-20 21:45:51.477,[2K[1G[⣽] Pulling schema from database...
2026-01-20 21:45:51.349,[2K[1G[⣻] Pulling schema from database...
2026-01-20 21:45:51.221,[2K[1G[⢿] Pulling schema from database...
2026-01-20 21:45:51.093,[2K[1G[⡿] Pulling schema from database...
2026-01-20 21:45:50.965,[2K[1G[⣟] Pulling schema from database...
2026-01-20 21:45:50.836,[2K[1G[⣯] Pulling schema from database...
2026-01-20 21:45:50.661,[⣷] Pulling schema from database...
2026-01-20 21:45:50.168,Using 'pg' driver for database querying
2026-01-20 21:45:49.260,Reading config file '/app/drizzle.config.ts'
2026-01-20 21:45:49.259,"No config path provided, using default 'drizzle.config.ts'"
2026-01-20 21:45:48.539,> rest-express@1.0.0 db:push
2026-01-20 21:45:48.539,> drizzle-kit push
2026-01-20 21:45:47.777,npm warn config production Use `--omit=dev` instead.
2026-01-20 21:44:46.235,file:///app/dist/index.js:29457
2026-01-20 21:44:46.235,"      throw new Error(""SESSION_SECRET environment variable is required in production"");"
2026-01-20 21:44:46.235,            ^
2026-01-20 21:44:46.235,Error: SESSION_SECRET environment variable is required in production
2026-01-20 21:44:46.235,    at getSession (file:///app/dist/index.js:29457:13)
2026-01-20 21:44:46.235,    at setupReplitAuth (file:///app/dist/index.js:29589:12)
2026-01-20 21:44:46.235,    at setupAuth (file:///app/dist/index.js:29829:9)
2026-01-20 21:44:46.235,    at file:///app/dist/index.js:41751:9
2026-01-20 21:44:46.235,    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2026-01-20 21:44:46.235,Node.js v20.18.1
2026-01-20 21:44:46.230,"09:44:46 PM [startup] INFO: Default cron jobs bootstrapped {""service"":""sirius""}"
2026-01-20 21:44:46.229,"09:44:46 PM [app] INFO: Cron job bootstrap completed {""service"":""cron-bootstrap"",""created"":0,""skipped"":7,""errors"":0,""total"":7}"
2026-01-20 21:44:46.175,"09:44:46 PM [log-notifier] INFO: Log notifier initialized {""service"":""sirius""}"
